board,noise,variant,precision,recall,F1,Pratt FOM,time (ms)
04,salt & pepper 5%,3 + gradient-domain thresholds,0.19034928976920598,0.9749460403773,0.31851202274325896,0.23538756261573104,13.11359996907413
04,salt & pepper 5%,4 + noise-scaled threshold floor,0.26413369989437646,0.8941437412800057,0.4078012507646368,0.3051469432509141,11.924699996598065
04,salt & pepper 5%,5 + morphological repair,0.2719606507573885,0.8910432988707234,0.4167289638033997,0.31171962991371244,24.80630000354722
04,salt & pepper 5%,6 Proposed (+ noise-adaptive filter),0.32947479732111384,0.7136145196102982,0.45081086614075094,0.31355731872361225,59.29529998684302
04,salt & pepper 5%,7 Proposed with Sobel + Otsu,0.3897303370786517,0.8832087193980371,0.5408165146170214,0.4204894172086907,66.61699997493997
04,speckle s=0.15,1 Baseline (Gaussian + fixed Canny),0.3743379033723254,0.8201147163691435,0.5140430325597386,0.3551375680126776,5.148900032509118
04,speckle s=0.15,2 + intensity-Otsu thresholds,0.3468344826047176,0.9043513516736427,0.5013807294765498,0.3911412609717737,6.829800026025623
04,speckle s=0.15,3 + gradient-domain thresholds,0.3553677627679794,0.9468989613517929,0.5167871669152188,0.4054681583463714,12.542299984488636
04,speckle s=0.15,4 + noise-scaled threshold floor,0.35581688979787757,0.9393505765630403,0.5161290864132376,0.4038302143485151,11.844300024677068
04,speckle s=0.15,5 + morphological repair,0.3961166896683006,0.9320168377872381,0.5559492579133876,0.43781629823289725,23.71149999089539
04,speckle s=0.15,6 Proposed (+ noise-adaptive filter),0.40652853236745856,0.94760252328313,0.5689662923695519,0.45022698128698346,33.66100002313033
04,speckle s=0.15,7 Proposed with Sobel + Otsu,0.43865718898744,0.9710704873656972,0.6043252997606543,0.4655762225149272,41.71259998111054
05,clean,1 Baseline (Gaussian + fixed Canny),0.3908230152949745,0.8573717948717948,0.5369043796230648,0.33910225609114375,6.476799957454205
05,clean,2 + intensity-Otsu thresholds,0.32055389993053846,0.9523998728544183,0.4796646980650524,0.35174609123997846,7.283999992068857
05,clean,3 + gradient-domain thresholds,0.3177416427328344,0.9683195592286501,0.47847714707571093,0.3505976501818823,12.255400011781603
05,clean,4 + noise-scaled threshold floor,0.3177416427328344,0.9683195592286501,0.47847714707571093,0.3505976501818823,12.633799982722849
05,clean,5 + morphological repair,0.3514696995214932,0.9574459631277813,0.514186291097591,0.3814790765056024,26.27610001945868
05,clean,6 Proposed (+ noise-adaptive filter),0.4194979628478696,0.979815638906548,0.5874746932673887,0.44142593738719194,33.93620002316311
05,clean,7 Proposed with Sobel + Otsu,0.4645832051045321,0.9949671540580631,0.6334074415510252,0.4787975136174106,51.95850000018254
05,gaussian s=10,1 Baseline (Gaussian + fixed Canny),0.50975578786981,0.846047891502437,0.6361950717055186,0.3345710848025624,5.464399990160018
05,gaussian s=10,2 + intensity-Otsu thresholds,0.3231210632193385,0.9574724517906336,0.4831814514122495,0.353786076078214,7.2265000198967755
05,gaussian s=10,3 + gradient-domain thresholds,0.31723475956472297,0.969988344988345,0.47810518365392674,0.35016798827699125,12.351499986834824
05,gaussian s=10,4 + noise-scaled threshold floor,0.3215316903312318,0.961763615172706,0.481942822605623,0.3525956947690425,11.861899984069169
05,gaussian s=10,5 + morphological repair,0.3547948198466611,0.95432030091121,0.5172775012205029,0.38300220331332896,25.924600020516664
05,gaussian s=10,6 Proposed (+ noise-adaptive filter),0.35208402232845276,0.9515257469802925,0.5139835865506804,0.38044439093364946,35.50079994602129
05,gaussian s=10,7 Proposed with Sobel + Otsu,0.4693205203670495,0.9950068870523416,0.6378042883499186,0.4815645365846432,44.12120004417375
05,gaussian s=25,1 Baseline (Gaussian + fixed Canny),0.5588510354041416,0.9103491205763933,0.6925530827674476,0.40161017271016725,6.231500010471791
05,gaussian s=25,2 + intensity-Otsu thresholds,0.15256177005692823,0.9813917143462598,0.2640723082899109,0.18806613222607269,7.991100021172315
05,gaussian s=25,3 + gradient-domain thresholds,0.12652119107723112,0.9859345200254291,0.2242635073968603,0.1627745917870148,15.714700042735785
